"","latitude","longitude","date","year","time_frame"
"238",41.791993,-93.784708,2018-07-20,2018,"T2"
"239",42.368295,-76.846757,2018-07-28,2018,"T2"
"240",40.152909,-84.749255,2018-07-17,2018,"T2"
"241",42.213102,-83.372481,2018-07-19,2018,"T2"
"242",41.159433,-73.849831,2018-07-29,2018,"T2"
"243",44.781864,-76.237472,2018-07-31,2018,"T2"
"244",40.008228,-83.19823,2018-07-25,2018,"T2"
"245",25.675946,-80.288818,2018-07-08,2018,"T2"
"246",43.081253,-77.670178,2018-07-31,2018,"T2"
"247",42.358983,-76.841062,2018-07-28,2018,"T2"
"248",42.241748,-83.042318,2018-07-15,2018,"T2"
"249",39.515613,-81.360558,2018-07-26,2018,"T2"
"250",44.015337,-73.16734,2018-07-09,2018,"T2"
"251",41.463163,-83.09194,2018-07-16,2018,"T2"
"252",43.044425,-81.274875,2018-07-27,2018,"T2"
"253",44.480894,-77.317983,2018-07-28,2018,"T2"
"254",37.919508,-85.658439,2018-07-31,2018,"T2"
"255",37.822957,-84.643509,2018-07-23,2018,"T2"
"256",44.931161,-93.220404,2018-07-31,2018,"T2"
"257",28.553955,-81.639595,2018-07-15,2018,"T2"
"258",41.748336,-92.720471,2018-07-18,2018,"T2"
"259",45.523496,-92.732108,2018-07-30,2018,"T2"
"260",39.950927,-83.449097,2018-07-11,2018,"T2"
"261",39.459767,-88.141477,2018-07-26,2018,"T2"
"262",38.201672,-90.538306,2018-07-29,2018,"T2"
"263",44.769583,-76.26175,2018-07-27,2018,"T2"
"264",40.008347,-83.198175,2018-07-19,2018,"T2"
"265",42.172698,-82.818899,2018-07-25,2018,"T2"
"266",40.119903,-82.790143,2018-07-09,2018,"T2"
"267",33.523322,-79.088394,2018-07-21,2018,"T2"
"268",44.477502,-77.302132,2018-07-28,2018,"T2"
"269",44.471121,-77.314652,2018-07-27,2018,"T2"
"270",41.414967,-82.636927,2018-07-25,2018,"T2"
"271",43.081894,-77.670245,2018-07-31,2018,"T2"
"272",38.589712,-92.232597,2018-07-21,2018,"T2"
"273",44.523849,-92.342194,2018-07-27,2018,"T2"
"274",44.259388,-91.917456,2018-07-21,2018,"T2"
"275",44.47135,-77.314382,2018-07-23,2018,"T2"
"276",45.173607,-92.773862,2018-07-16,2018,"T2"
"277",41.986782,-89.343277,2018-07-31,2018,"T2"
"278",41.783252,-87.578253,2018-07-31,2018,"T2"
"279",41.783761,-76.790817,2018-07-30,2018,"T2"
"280",42.6221,-85.97023,2018-07-14,2018,"T2"
"281",42.292642,-83.358962,2018-07-17,2018,"T2"
"282",30.410364,-87.7453,2018-07-18,2018,"T2"
"283",44.676425,-76.951996,2018-07-31,2018,"T2"
"284",29.902878,-90.022898,2018-07-22,2018,"T2"
"285",29.65295,-81.321511,2018-07-29,2018,"T2"
"286",44.466072,-93.181603,2018-07-29,2018,"T2"
"287",44.707143,-73.143776,2018-07-14,2018,"T2"
"288",38.475921,-90.8281,2018-07-14,2018,"T2"
"289",44.47368,-77.307539,2018-07-30,2018,"T2"
"290",43.841849,-73.385584,2018-07-31,2018,"T2"
"291",39.479551,-88.174189,2018-07-16,2018,"T2"
"292",32.892539,-93.821828,2018-07-17,2018,"T2"
"293",39.260985,-93.26288,2018-07-21,2018,"T2"
"294",43.230422,-86.334986,2018-07-21,2018,"T2"
"295",42.273412,-83.765962,2018-07-21,2018,"T2"
"296",40.845473,-75.700423,2018-07-02,2018,"T2"
"297",42.140484,-82.99448,2018-07-17,2018,"T2"
"298",42.301265,-83.662616,2018-07-28,2018,"T2"
"299",43.365187,-80.095337,2018-07-27,2018,"T2"
"300",44.445282,-77.461203,2018-07-29,2018,"T2"
"301",42.287596,-83.602643,2018-07-20,2018,"T2"
"302",45.214436,-92.786638,2018-07-31,2018,"T2"
"303",43.7476,-79.807905,2018-07-21,2018,"T2"
"304",45.353214,-75.814567,2018-07-26,2018,"T2"
"305",39.927713,-83.154107,2018-07-19,2018,"T2"
"306",44.560295,-92.551575,2018-08-12,2018,"T2"
"307",42.76417,-71.855475,2018-08-14,2018,"T2"
"308",44.706313,-73.144452,2018-08-16,2018,"T2"
"309",42.942233,-81.318512,2018-08-22,2018,"T2"
"310",43.270878,-79.964195,2018-08-26,2018,"T2"
"311",40.862492,-73.876983,2018-08-01,2018,"T2"
"312",43.415712,-80.103292,2018-08-09,2018,"T2"
"313",43.325372,-79.878493,2018-08-24,2018,"T2"
"314",43.134444,-80.233611,2018-08-22,2018,"T2"
"315",41.704734,-87.984597,2018-08-18,2018,"T2"
"316",35.287062,-93.557725,2018-08-23,2018,"T2"
"317",42.919844,-83.986893,2018-08-08,2018,"T2"
"318",43.424691,-80.514914,2018-08-05,2018,"T2"
"319",44.846382,-93.232705,2018-08-15,2018,"T2"
"320",34.820531,-82.362769,2018-08-26,2018,"T2"
"321",41.615072,-72.735038,2018-08-03,2018,"T2"
"322",44.480516,-77.304861,2018-08-08,2018,"T2"
"323",42.311097,-83.70797,2018-08-02,2018,"T2"
"324",28.575133,-80.996527,2018-08-29,2018,"T2"
"325",44.481517,-77.307103,2018-08-18,2018,"T2"
"326",44.334162,-72.387706,2018-08-03,2018,"T2"
"327",43.136454,-79.056653,2018-08-06,2018,"T2"
"328",43.629744,-85.446502,2018-08-11,2018,"T2"
"329",42.757181,-81.415808,2018-08-12,2018,"T2"
"330",42.963817,-88.452208,2018-08-19,2018,"T2"
"331",44.465582,-77.319865,2018-08-23,2018,"T2"
"332",39.148479,-84.51462,2018-08-28,2018,"T2"
"333",43.452253,-84.728833,2018-08-04,2018,"T2"
"334",43.341345,-72.506088,2018-08-10,2018,"T2"
"335",44.296158,-72.550155,2018-08-09,2018,"T2"
"336",45.386998,-75.702954,2018-08-13,2018,"T2"
"337",44.515289,-92.94793,2018-08-01,2018,"T2"
"338",42.392935,-73.332375,2018-08-02,2018,"T2"
"339",42.798212,-78.853767,2018-08-08,2018,"T2"
"340",32.24357,-80.775978,2018-08-19,2018,"T2"
"341",43.266386,-79.942888,2018-08-24,2018,"T2"
"342",44.706542,-73.144581,2018-08-08,2018,"T2"
"343",44.46483,-77.32189,2018-08-23,2018,"T2"
"344",43.411629,-85.758871,2018-08-05,2018,"T2"
"345",43.365655,-80.108598,2018-08-09,2018,"T2"
"346",43.295285,-79.87436,2018-08-12,2018,"T2"
"347",41.783252,-87.578253,2018-08-11,2018,"T2"
"348",44.481872,-77.30558,2018-08-04,2018,"T2"
"349",42.302479,-83.746877,2018-08-05,2018,"T2"
"350",43.275355,-79.976793,2018-08-02,2018,"T2"
"351",28.572972,-80.995733,2018-08-29,2018,"T2"
"352",44.477748,-77.303058,2018-08-04,2018,"T2"
"353",44.284618,-72.57476,2018-08-07,2018,"T2"
"354",43.629968,-79.327331,2018-08-02,2018,"T2"
"355",42.157386,-83.154958,2018-08-23,2018,"T2"
"356",43.3652,-80.095402,2018-08-18,2018,"T2"
"357",42.451247,-76.463342,2018-08-19,2018,"T2"
"358",45.19467,-93.216342,2018-08-07,2018,"T2"
"359",30.400735,-91.133363,2018-08-10,2018,"T2"
"360",42.70599,-81.048946,2018-08-18,2018,"T2"
"361",28.996162,-82.73258,2018-08-19,2018,"T2"
"362",44.706725,-73.144238,2018-08-13,2018,"T2"
"363",44.478964,-77.302961,2018-08-20,2018,"T2"
"364",30.556749,-88.905529,2018-08-30,2018,"T2"
"365",43.338013,-80.139205,2018-08-04,2018,"T2"
"366",42.404225,-85.401603,2018-08-13,2018,"T2"
"367",45.373247,-75.797877,2018-08-20,2018,"T2"
"368",42.648922,-81.830688,2018-08-04,2018,"T2"
"369",41.207854,-89.323956,2018-08-05,2018,"T2"
"370",45.178833,-93.315383,2018-08-12,2018,"T2"
"371",43.624247,-72.504853,2018-08-16,2018,"T2"
"372",30.676479,-81.524716,2018-08-20,2018,"T2"
"373",42.287647,-83.755188,2018-08-18,2018,"T2"
"374",44.478954,-77.301717,2018-08-19,2018,"T2"
"375",45.079788,-76.261356,2018-08-28,2018,"T2"
"376",43.440608,-80.634858,2018-08-23,2018,"T2"
"377",43.428825,-80.257998,2018-08-31,2018,"T2"
"378",43.823979,-79.596898,2018-08-11,2018,"T2"
"379",30.093872,-92.088392,2018-08-15,2018,"T2"
"380",43.935277,-76.86272,2018-08-18,2018,"T2"
"381",41.164064,-75.993974,2018-08-06,2018,"T2"
"382",44.491047,-77.322531,2018-08-09,2018,"T2"
"383",42.929722,-83.830397,2018-08-11,2018,"T2"
"384",44.011961,-77.745135,2018-08-18,2018,"T2"
"385",39.641571,-84.410059,2018-08-29,2018,"T2"
"386",44.479624,-77.301499,2018-08-30,2018,"T2"
"387",44.211213,-78.253245,2018-08-06,2018,"T2"
"388",43.575684,-73.38679,2018-08-11,2018,"T2"
"389",44.706313,-73.144731,2018-08-25,2018,"T2"
"390",43.610112,-79.496487,2018-08-07,2018,"T2"
"391",44.490456,-77.321296,2018-08-18,2018,"T2"
"392",41.978822,-87.744228,2018-08-29,2018,"T2"
"393",41.97915,-87.744156,2018-08-29,2018,"T2"
"394",38.556275,-90.428727,2018-08-13,2018,"T2"
"395",43.293175,-79.879303,2018-08-11,2018,"T2"
"396",30.789075,-89.817981,2018-08-18,2018,"T2"
"397",39.148479,-84.51462,2018-08-19,2018,"T2"
"398",44.034098,-73.40751,2018-08-05,2018,"T2"
"399",42.468292,-76.464768,2018-08-24,2018,"T2"
"400",43.647207,-89.795108,2018-08-04,2018,"T2"
"401",43.48662,-80.56397,2018-08-21,2018,"T2"
"402",41.01718,-74.743076,2018-08-05,2018,"T2"
"403",44.027106,-73.186898,2018-08-02,2018,"T2"
"404",43.570587,-73.400963,2018-08-05,2018,"T2"
"405",44.260482,-72.552414,2018-08-06,2018,"T2"
"406",43.591613,-84.892334,2018-08-05,2018,"T2"
"407",39.493244,-88.176446,2018-08-26,2018,"T2"
"408",43.298408,-72.482312,2018-08-10,2018,"T2"
"409",45.367554,-75.765374,2018-08-23,2018,"T2"
"410",44.110014,-73.339611,2018-08-21,2018,"T2"
"411",43.89798,-77.222137,2018-08-08,2018,"T2"
"412",43.630975,-72.977264,2018-08-13,2018,"T2"
"413",42.953217,-88.449347,2018-08-19,2018,"T2"
"414",42.707646,-81.047541,2018-08-18,2018,"T2"
"415",42.40352,-85.400014,2018-08-22,2018,"T2"
"416",44.49152,-77.323067,2018-08-09,2018,"T2"
"417",36.489226,-81.315507,2018-08-26,2018,"T2"
"418",41.783512,-76.790787,2018-08-19,2018,"T2"
"419",44.706908,-73.144388,2018-08-17,2018,"T2"
"420",44.474147,-77.309189,2018-08-13,2018,"T2"
"421",44.706557,-73.145268,2018-08-21,2018,"T2"
"422",40.660513,-75.625458,2018-08-26,2018,"T2"
"423",45.138958,-74.797792,2018-08-10,2018,"T2"
"424",44.377917,-77.755487,2018-08-01,2018,"T2"
"425",44.390119,-72.76718,2018-08-03,2018,"T2"
"426",42.281688,-81.851833,2018-08-11,2018,"T2"
"427",44.483034,-77.296827,2018-08-16,2018,"T2"
"428",44.482356,-77.296406,2018-08-03,2018,"T2"
"429",28.569605,-80.996956,2018-08-01,2018,"T2"
"430",30.441355,-91.167582,2018-08-09,2018,"T2"
"431",34.586427,-92.253698,2018-08-03,2018,"T2"
"432",38.900172,-78.264636,2018-08-07,2018,"T2"
"433",44.377504,-73.142574,2018-08-08,2018,"T2"
"434",44.48053,-77.30499,2018-08-11,2018,"T2"
"435",45.265176,-76.147696,2018-08-15,2018,"T2"
"436",28.78967,-82.603074,2018-08-18,2018,"T2"
"437",40.782637,-73.97132,2018-08-18,2018,"T2"
"438",44.964979,-73.269299,2018-08-16,2018,"T2"
"439",45.389755,-75.701969,2018-08-29,2018,"T2"
"440",44.435832,-77.289542,2018-08-04,2018,"T2"
"441",39.980131,-82.413102,2018-08-06,2018,"T2"
"442",28.044261,-82.465085,2018-08-28,2018,"T2"
"443",43.186807,-89.070821,2018-08-23,2018,"T2"
"444",42.955186,-88.452897,2018-08-19,2018,"T2"
"445",44.706831,-73.145599,2018-08-20,2018,"T2"
"446",43.119416,-79.239421,2018-08-13,2018,"T2"
"447",41.212992,-89.322493,2018-08-04,2018,"T2"
"448",30.45228,-88.653715,2018-08-27,2018,"T2"
"449",43.355236,-79.820922,2018-08-18,2018,"T2"
"450",30.18067,-81.622202,2018-08-05,2018,"T2"
"451",43.607842,-80.150427,2018-08-25,2018,"T2"
"452",28.042539,-81.760778,2018-08-29,2018,"T2"
"453",43.441023,-80.541696,2018-08-12,2018,"T2"
"454",42.648994,-81.830811,2018-08-04,2018,"T2"
"455",35.287067,-93.55767,2018-08-23,2018,"T2"
"456",40.655382,-74.686828,2018-08-27,2018,"T2"
"457",44.02524,-92.533606,2018-08-05,2018,"T2"
"458",44.460835,-78.125091,2018-08-06,2018,"T2"
"459",32.681023,-80.343258,2018-08-11,2018,"T2"
"460",41.78352,-76.790725,2018-08-18,2018,"T2"
"461",43.99875,-91.586662,2018-08-15,2018,"T2"
"462",43.441064,-80.541455,2018-08-11,2018,"T2"
"463",43.609549,-80.147107,2018-08-25,2018,"T2"
"464",43.441023,-80.541696,2018-08-17,2018,"T2"
"465",40.863498,-73.880925,2018-08-08,2018,"T2"
"466",43.416735,-80.103633,2018-08-12,2018,"T2"
"467",42.385574,-83.912226,2018-08-20,2018,"T2"
"468",39.459837,-88.141238,2018-08-04,2018,"T2"
"469",42.301276,-81.843069,2018-08-10,2018,"T2"
"470",44.48125,-77.305229,2018-08-18,2018,"T2"
"471",29.080733,-82.276458,2018-08-18,2018,"T2"
"472",43.613377,-73.057369,2018-08-04,2018,"T2"
"473",44.435832,-77.289542,2018-08-06,2018,"T2"
"474",28.510046,-81.070931,2018-08-15,2018,"T2"
"475",44.477511,-77.302177,2018-08-28,2018,"T2"
"476",43.608752,-80.149234,2018-08-25,2018,"T2"
"477",44.192462,-78.163842,2018-08-02,2018,"T2"
"478",42.671173,-80.404002,2018-08-03,2018,"T2"
"479",43.356827,-80.11109,2018-08-04,2018,"T2"
"480",44.781864,-76.237472,2018-08-03,2018,"T2"
